,time,value
1885,05:55:20,53
1886,05:55:35,53
1887,05:55:40,54
1888,05:55:55,54
1889,05:56:00,53
1890,05:56:15,53
1891,05:56:30,53
1892,05:56:40,52
1893,05:56:50,53
1894,05:57:05,53
1895,05:57:10,52
1896,05:57:20,52
1897,05:57:30,51
1898,05:57:40,53
1899,05:57:50,54
1900,05:58:00,57
1901,05:58:10,56
1902,05:58:20,54
1903,05:58:30,53
1904,05:58:40,55
1905,05:58:50,56
1906,05:59:05,56
1907,05:59:20,54
1908,05:59:30,55
1909,05:59:40,53
1910,05:59:50,52
1911,06:00:00,53
1912,06:00:10,55
1913,06:00:25,55
1914,06:00:30,54
1915,06:00:45,54
1916,06:00:50,53
1917,06:01:05,53
1918,06:01:10,53
1919,06:01:20,56
1920,06:01:30,54
1921,06:01:40,53
1922,06:01:55,53
1923,06:02:00,54
1924,06:02:10,55
1925,06:02:20,54
1926,06:02:30,53
1927,06:02:45,53
1928,06:03:00,53
1929,06:03:10,54
1930,06:03:20,53
1931,06:03:35,53
1932,06:03:40,52
1933,06:03:50,55
1934,06:04:00,54
1935,06:04:10,53
1936,06:04:25,53
1937,06:04:40,53
1938,06:04:50,56
1939,06:05:00,55
1940,06:05:10,54
1941,06:05:20,56
1942,06:05:30,54
1943,06:05:40,53
1944,06:05:55,53
1945,06:06:00,54
1946,06:06:15,54
1947,06:06:30,58
1948,06:06:40,56
1949,06:06:50,54
1950,06:07:00,53
1951,06:07:10,55
1952,06:07:20,54
1953,06:07:30,55
1954,06:07:40,54
1955,06:07:50,54
1956,06:08:00,52
1957,06:08:15,52
1958,06:08:20,53
1959,06:08:35,53
1960,06:08:40,57
1961,06:08:50,56
1962,06:09:00,54
1963,06:09:15,54
1964,06:09:20,55
1965,06:09:30,53
1966,06:09:40,54
1967,06:09:50,55
1968,06:10:05,55
1969,06:10:10,56
1970,06:10:20,55
1971,06:10:35,55
1972,06:10:50,55
1973,06:11:05,55
1974,06:11:10,57
1975,06:11:20,60
1976,06:11:30,59
1977,06:11:40,56
1978,06:11:55,56
1979,06:12:10,55
1980,06:12:20,58
1981,06:12:30,60
1982,06:12:45,60
1983,06:12:50,57
1984,06:13:00,56
1985,06:13:15,56
1986,06:13:20,55
1987,06:13:30,56
1988,06:13:40,58
1989,06:13:50,60
1990,06:14:00,59
1991,06:14:10,57
1992,06:14:25,57
1993,06:14:30,59
1994,06:14:45,59
1995,06:14:50,60
1996,06:15:05,60
1997,06:15:10,59
1998,06:15:15,60
1999,06:15:30,60
2000,06:15:45,60
2001,06:16:00,60
2002,06:16:10,61
2003,06:16:15,60
2004,06:16:20,60
2005,06:16:35,60
2006,06:16:50,61
2007,06:17:00,60
2008,06:17:15,60
2009,06:17:20,60
2010,06:17:35,60
2011,06:17:40,59
2012,06:17:50,58
2013,06:18:00,57
2014,06:18:10,56
2015,06:18:20,55
2016,06:18:30,54
2017,06:18:45,54
2018,06:18:50,55
2019,06:19:05,55
2020,06:19:20,55
2021,06:19:35,55
